Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
I ,98473,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.12,2.5,-0.54,9.38
F ,98473,283
L ,98473,106
F ,98482,282
L ,98482,107
I ,98502,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.08,2.5,-0.52,9.42
F ,98502,282
L ,98502,107
F ,98512,515
F ,98532,282
L ,98532,107
L ,98543,106
I ,98552,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.03,2.48,-0.54,9.4
F ,98573,282
L ,98573,106
I ,98593,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.72,-0.64,-1.07,2.49,-0.52,9.4
F ,98593,281
L ,98593,106
I ,98602,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.05,2.49,-0.51,9.39
F ,98643,276
L ,98643,107
I ,98652,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.12,2.5,-0.52,9.42
F ,98652,276
L ,98652,106
L ,98657,107
I ,98663,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.72,-1.04,2.5,-0.52,9.36
F ,98673,279
L ,98673,107
F ,98682,275
L ,98682,106
F ,98693,276
L ,8490498,769
