Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
F ,139724,64
M ,139734,873,248,873.0,248.0,323,700,1400,1600
M ,139745,873,248,873.0,248.0,323,700,1400,1600
M ,139774,873,248,873.0,248.0,323,700,1400,1600
I ,139784,3,3,1,3,0,3,1,3,-0.0253,0.8256,-0.07,0.5592,-0.7438,-0.1078,0.216,-0.6231,10.4,-0.77,0.27,3.38,-0.64,7.9
F ,139784,68
L ,139784,201
I ,139794,3,3,1,3,0,3,1,3,-0.0209,0.8317,-0.0701,0.5502,-0.7427,-0.1181,0.2228,-0.6202,11.21,-0.73,1.3,3.89,0.46,8.47
F ,139794,70
L ,139794,191
M ,139802,873,248,873.0,248.0,323,700,1400,1600
I ,139812,3,3,1,3,0,3,1,3,-0.0132,0.8446,-0.0678,0.5307,-0.7412,-0.1294,0.2305,-0.6169,11.14,-0.54,1.17,3.78,-0.12,8.86
F ,139812,56
L ,139812,166
F ,139823,57
L ,139824,3
I ,139844,3,3,1,3,0,3,1,3,-0.0012,0.8656,-0.0655,0.4963,-0.7296,-0.187,0.2691,-0.6002,11.53,-0.31,3.14,5.71,-0.88,9.11
F ,139844,54
L ,139844,113
M ,139844,873,248,873.0,248.0,323,700,1400,1600
F ,139862,59
L ,139862,107
M ,139862,873,248,873.0,248.0,323,700,1400,1600
F ,139894,60
L ,139894,107
M ,139894,873,248,873.0,248.0,323,700,1400,1600
F ,139912,71
L ,139912,10
I ,139953,3,3,1,3,0,3,1,3,0.0539,0.939,-0.0665,0.333,-0.6498,-0.379,0.4457,-0.4851,10.98,1.84,-10.32,3.23,7.0,14.0
F ,139984,59
M ,140011,873,248,873.0,248.0,323,700,1400,1600
F ,140017,56
F ,140061,66
L ,140061,97
F ,140073,64
L ,140073,107
F ,140084,0
I ,140123,2,3,1,3,0,3,1,3,0.0941,0.9114,-0.1088,0.3853,-0.7233,-0.3032,0.3966,-0.4769,6.23,1.12,-10.42,7.96,2.61,12.06
M ,140123,873,248,873.0,248.0,923,100,1532,1400
M ,140173,872,248,872.0,248.0,923,100,1532,1400
F ,140194,58
L ,140194,106
M ,140194,873,248,873.0,248.0,53259,491,62721,26368
F ,140203,56
L ,140203,107
F ,140211,58
L ,140211,106
I ,140223,2,3,1,3,0,3,1,3,0.0823,0.7929,-0.1394,0.5873,-0.8168,-0.1248,0.2272,-0.5152,6.01,0.07,-8.6,10.77,-3.06,12.77
F ,140223,56
L ,140223,107
M ,140223,873,248,873.0,248.0,923,100,1532,1400
F ,140244,55
I ,140261,2,3,1,3,0,3,1,3,0.07,0.721,-0.1508,0.6726,-0.8334,-0.0621,0.1744,-0.5205,7.4,1.98,-5.86,13.36,-5.15,15.09
F ,140261,59
F ,140273,60
M ,140273,873,248,873.0,248.0,923,100,1532,1400
F ,140303,515
I ,140373,2,3,1,3,0,3,1,3,0.0204,0.5252,-0.1792,0.8316,-0.7988,0.175,0.047,-0.5734,3.66,-7.36,10.52,22.34,7.82,-6.73
F ,140373,61
I ,140384,2,3,1,3,0,3,1,3,0.0203,0.5182,-0.1853,0.8346,-0.7943,0.1857,0.0483,-0.5763,4.44,-7.19,8.22,21.15,4.69,-10.76
F ,140384,67
L ,140384,107
I ,140423,2,3,1,3,0,3,1,3,0.0142,0.5258,-0.1859,0.8298,-0.7915,0.1657,0.0582,-0.5853,6.36,-5.21,-2.91,14.71,3.0,5.05
F ,140423,59
L ,140423,106
L ,140434,106
L ,140447,107
I ,140453,2,3,1,3,0,3,1,3,-0.0008,0.5528,-0.1588,0.8179,-0.7921,0.1477,0.0645,-0.5885,5.0,4.0,-3.45,-6.03,1.29,26.33
F ,140462,201
L ,140462,106
F ,140473,292
L ,140473,106
I ,140512,2,3,1,3,0,3,1,3,-0.031,0.5966,-0.1155,0.7935,-0.7871,0.0448,0.0672,-0.6113,11.89,1.87,1.5,0.6,-1.16,4.46
F ,140512,549
L ,140512,107
I ,140523,2,3,1,3,0,3,1,3,-0.0397,0.6021,-0.1023,0.7907,-0.7805,0.0307,0.0773,-0.6194,13.81,0.0,0.77,13.18,30.79,22.7
F ,140523,576
L ,140523,107
F ,140544,585
I ,140573,2,3,1,3,0,3,1,3,-0.0737,0.6351,-0.0496,0.7672,-0.7757,-0.0205,0.1199,-0.6191,6.53,-6.21,5.15,0.0,12.77,26.3
L ,140584,107
L ,140594,107
F ,140603,552
L ,140603,107
L ,140612,107
L ,140617,107
I ,140624,2,3,1,3,0,3,1,3,-0.0682,0.6719,-0.0598,0.7349,-0.7758,-0.0363,0.124,-0.6175,13.67,-1.75,-7.07,3.0,0.01,10.78
F ,140624,546
I ,140634,2,3,1,3,0,3,1,3,-0.0671,0.6784,-0.0608,0.729,-0.7763,-0.0386,0.1223,-0.617,11.42,-1.79,-2.65,2.09,0.25,10.05
F ,140634,540
L ,140634,107
L ,140644,107
I ,140703,2,3,1,3,0,3,1,3,-0.0795,0.7055,-0.0517,0.7022,-0.7765,-0.0381,0.1237,-0.6165,11.46,-1.8,-3.7,2.1,-1.38,9.25
F ,140703,456
I ,140734,2,3,1,3,0,3,1,3,-0.0712,0.7149,-0.0648,0.6925,-0.7761,-0.0366,0.129,-0.6161,9.44,-6.32,-2.85,2.48,-1.57,9.59
F ,140734,424
F ,140753,401
L ,140753,138
L ,140774,142
L ,140777,143
I ,140784,2,3,1,3,0,3,1,3,-0.0723,0.7257,-0.0671,0.6809,-0.7758,-0.0382,0.1322,-0.6156,9.77,2.45,-1.13,2.26,-0.02,9.25
F ,140784,350
I ,140794,2,3,1,3,0,3,1,3,-0.0726,0.7274,-0.0676,0.6789,-0.7758,-0.0381,0.1333,-0.6155,9.61,1.3,-1.17,2.32,-0.25,9.52
F ,140794,330
L ,140794,147
L ,140834,152
I ,140973,3,3,1,3,0,3,1,3,-0.0635,0.7565,-0.0859,0.645,-0.7741,-0.0408,0.1517,-0.6131,9.47,-1.85,-1.37,2.93,-0.92,9.06
F ,140973,106
I ,140984,3,3,1,3,0,3,1,3,-0.0631,0.7579,-0.0866,0.6433,-0.7741,-0.0414,0.1528,-0.6129,9.27,-1.99,-0.36,2.9,-0.88,9.05
F ,140984,92
L ,140984,168
F ,140987,88
I ,141094,3,3,1,3,0,3,1,3,-0.0423,0.79,-0.0922,0.6046,-0.7713,-0.0535,0.1791,-0.6082,9.65,-2.56,-1.17,3.27,-0.85,8.85
F ,141094,70
L ,141094,204
I ,141112,3,3,1,3,0,3,1,3,-0.0377,0.8004,0.0771,0.0259,0.0003,0.0259,-0.0358,0.8037,-8.94,58.71,-76.84,-6.18,19.47,-60.63
I ,141134,3,3,1,3,0,3,1,3,-0.0339,0.8085,-0.0878,0.5808,-0.7672,-0.0659,0.2005,-0.6056,9.02,-1.35,-1.74,3.46,-1.55,8.73
F ,141134,70
M ,141144,873,248,873.0,248.0,323,700,1400,1600
I ,141153,3,3,1,3,0,3,1,3,-0.0296,0.8187,-0.0846,0.567,-0.7645,-0.0773,0.2122,-0.6036,10.4,-1.36,-2.2,3.3,-1.35,8.06
F ,141153,72
L ,141153,201
M ,16703776,13820,55061,-10014.0,12796.0,46856,36072,31492,4351
F ,141162,69
L ,141162,193
M ,141162,873,248,873.0,248.0,323,700,1400,1600
I ,141173,3,3,1,3,0,3,1,3,-0.0259,0.83,-0.0796,0.5513,-0.7615,-0.0918,0.2259,-0.6004,10.4,-1.41,-1.49,3.94,-0.83,8.39
F ,141173,67
L ,141173,181
M ,141173,873,248,873.0,248.0,323,700,1400,1600
F ,141184,62
L ,141184,169
M ,141184,873,248,873.0,248.0,323,700,1400,1600
I ,141203,3,3,1,3,0,3,1,3,-0.0162,0.8469,-0.0761,0.5258,-0.7557,-0.1209,0.2487,-0.5936,10.0,-0.66,0.0,4.61,-0.75,8.13
F ,141203,63
L ,141203,144
I ,141253,3,3,1,3,0,3,1,3,0.0009,0.8789,-0.0663,0.4723,-0.7375,-0.1816,0.297,-0.5786,11.0,-2.04,2.88,0.02,101.81,1.06
M ,141253,873,248,873.0,248.0,323,700,1400,1600
I ,141262,3,3,1,3,0,3,1,3,0.0053,0.8859,-0.064,0.4592,-0.7422,1.019,0.0873,0.0248,8.73,2.48,3.23,7.0,14.0,16.0
F ,141267,58
L ,141267,107
M ,141273,873,247,873.0,247.0,323,700,1400,1600
I ,141284,3,3,1,3,0,3,1,3,0.0153,0.9002,-0.0588,0.4311,-0.7161,-0.2235,0.3406,-0.5666,16.11,0.05,0.39,-71.65,268.8,-20.45
F ,141297,74
L ,141297,107
F ,141327,78
L ,141327,106
I ,141344,3,3,1,3,0,3,1,3,0.0386,0.9381,-0.0427,0.3413,-0.6471,-0.3442,0.4708,-0.4907,12.6,-2.02,-11.44,8.6,-2.25,18.94
F ,141344,67
L ,141344,107
I ,141353,3,3,1,3,0,3,1,3,0.0429,0.9427,-0.0404,0.3283,-0.6369,-0.3617,0.4873,-0.4752,10.59,1.01,-11.39,4.32,-3.0,17.0
F ,141353,64
L ,141361,107
I ,141373,3,3,1,3,0,3,1,3,0.0476,0.9498,-0.0335,0.307,-0.6202,-0.3911,0.515,-0.4439,14.38,1.25,-20.45,2.59,0.03,2.59
F ,141403,70
I ,141423,3,3,1,3,0,3,1,3,0.0612,0.9571,-0.0266,0.2816,-0.6239,-0.4105,0.5005,-0.4378,5.19,0.85,-9.4,-2.9,-2.45,6.05
F ,141423,73
L ,141423,107
M ,141423,873,248,873.0,248.0,923,100,1532,1400
F ,141434,71
L ,536871464,33795
M ,141444,873,249,873.0,249.0,923,100,1532,1400
I ,141453,3,3,1,3,0,3,1,3,0.0656,0.9542,-0.0296,0.2903,-0.6335,-0.4074,0.4794,-2.7389,7.69,7.68,7.69,7.7,-281.23,122.86
M ,141461,873,248,873.0,248.0,923,100,1532,1400
I ,141473,3,3,1,3,0,3,1,3,0.0671,0.9492,-0.031,0.3059,-0.6451,-0.3949,0.4657,-0.4591,5.21,1.54,-11.68,2.16,-2.71,13.63
L ,141507,106
M ,141523,873,248,873.0,248.0,923,100,1532,1400
I ,141534,3,3,1,3,0,3,1,3,0.0676,0.9172,-0.0463,0.3897,-0.6931,-0.3283,0.3957,-0.5051,2.4,2.8,-7.53,3.91,2.89,8.43
F ,1045476,36083
F ,141544,74
L ,141544,106
I ,141594,3,3,1,3,0,3,1,3,0.0588,0.8533,-0.0697,0.5131,-0.7565,-0.2233,0.2985,-0.5372,5.11,0.98,-10.23,10.48,0.87,13.3
F ,141594,85
L ,141611,107
M ,141611,873,248,23319.0,-23328.0,56826,42504,38890,46081
F ,141634,83
I ,141644,3,3,1,3,0,3,1,3,0.0553,0.7697,-0.0983,0.6283,-0.8049,-0.1139,0.2009,-0.5464,7.21,1.64,-9.36,14.6,-3.75,18.32
F ,141644,85
F ,141647,81
L ,141647,107
I ,141654,2,3,1,3,0,3,1,3,0.0518,0.7501,-0.1029,0.6511,-0.8112,-0.0901,0.1822,-0.5481,6.51,1.8,-8.19,14.63,-4.53,17.04
I ,141661,2,3,1,3,0,3,1,3,0.0479,0.7294,-0.107,0.6739,-0.8159,-0.0654,0.1633,-0.5507,7.84,2.48,-6.92,14.63,-4.53,17.04
F ,141661,85
L ,141661,107
I ,141673,2,3,1,3,0,3,1,3,0.0438,0.7078,-0.1111,0.6961,-0.8186,-0.0397,0.1459,-0.554,8.46,1.74,-5.26,15.6,-4.11,17.47
F ,141673,82
L ,141673,107
I ,141684,2,3,1,3,0,3,1,3,0.0399,0.6856,-0.1156,0.7175,-0.8195,-0.0139,0.1289,-0.558,8.27,0.15,-4.73,17.79,0.47,14.0
F ,141684,69
L ,141684,107
I ,141694,2,3,1,3,0,3,1,3,0.0363,0.6628,-0.1207,0.738,-0.819,0.0116,0.1129,-0.5623,8.28,-0.23,-5.34,20.4,0.73,16.76
F ,141694,63
L ,141694,107
I ,141703,2,3,1,3,0,3,1,3,0.0331,0.64,-0.1262,0.7572,-0.8171,0.0371,0.0984,-0.5666,6.63,-2.29,-0.44,20.4,0.73,16.76
F ,141703,63
L ,141703,107
I ,141711,2,3,1,3,0,3,1,3,0.03,0.6169,-0.1318,0.7752,-0.8148,0.0614,0.0842,-0.5702,8.3,-1.74,0.81,20.82,1.23,13.9
F ,141711,55
L ,141712,107
L ,141717,107
I ,141723,2,3,1,3,0,3,1,3,0.0263,0.5952,-0.1371,0.7913,-0.8121,0.0849,0.0707,-0.5728,8.03,-2.1,4.0,24.78,1.26,11.03
F ,141723,54
I ,141734,2,3,1,3,0,3,1,3,0.0221,0.5746,-0.1422,0.8056,-0.8098,0.1064,0.057,-0.574,8.92,-1.84,3.76,24.01,4.57,1.55
F ,141734,51
L ,141734,106
I ,141744,2,3,1,3,0,3,1,3,0.0173,0.5562,-0.1471,0.8177,-0.8076,0.1262,0.0448,-0.5742,7.44,-1.27,5.36,23.05,6.65,-2.78
F ,141744,49
L ,141744,106
I ,141754,1,3,1,3,0,140,5,167,0.0355,-0.5737,0.0409,-0.0505,0.0661,0.2305,0.0665,-0.051,106.89,2.59,2.59,0.03,2.59,0.89
F ,141773,49
L ,141773,107
I ,141784,1,3,1,3,0,3,1,3,0.0076,0.5101,-0.1709,0.8428,-0.794,0.1885,0.0297,-0.577,4.63,-7.9,7.21,24.05,5.0,-12.19
F ,141784,51
I ,141804,1,3,1,3,0,3,1,3,0.0079,0.5113,-0.1759,0.8411,-0.7892,0.1887,0.035,-0.5833,4.03,-8.72,0.2,19.31,7.23,-5.21
F ,141804,59
L ,141804,107
I ,141812,1,3,1,3,0,3,1,3,0.0062,0.5166,-0.1739,0.8382,-0.7899,0.1796,0.0388,-0.585,5.13,-7.23,-2.97,19.89,5.61,1.73
F ,141812,59
L ,141812,107
I ,141834,1,3,1,3,0,3,1,3,-0.0018,0.5343,-0.1596,0.83,-0.793,0.1584,0.0465,-0.5863,7.76,0.91,-7.17,13.52,-4.67,11.72
F ,141834,89
L ,141835,106
I ,141844,1,3,1,3,0,3,1,3,-0.0069,0.5456,-0.1499,0.8244,-0.7936,0.1491,0.0505,0.0768,7.69,10.21,-22.81,-148.52,-253.14,-169.27
L ,141997,107
L ,142017,107
I ,142022,1,3,1,3,0,3,1,3,-0.0709,0.6656,-0.0643,0.7401,-0.7769,-0.0285,0.1222,-0.617,11.19,-1.99,-4.32,2.34,0.28,9.76
I ,142094,1,3,1,3,0,3,1,3,-0.085,0.6979,-0.0547,0.7089,-0.7769,-0.0349,0.1242,-0.6161,10.6,-0.38,-3.34,1.89,-0.36,9.14
F ,142094,516
L ,142094,115
I ,142104,1,3,1,3,0,3,1,3,-0.085,0.6979,-0.0547,0.7089,-0.7768,-0.0346,0.1252,-0.616,10.06,-1.46,-2.7,1.89,-0.36,9.14
F ,142104,506
L ,142104,117
I ,142112,1,3,1,3,0,3,1,3,-0.0844,0.7009,-0.057,0.7058,-0.7767,-0.0342,0.1265,-0.616,10.82,-2.92,-3.09,2.16,-0.93,9.97
F ,142112,489
L ,142112,119
I ,142134,1,3,1,3,0,3,1,3,-0.0809,0.7087,-0.0647,0.6978,-0.7764,-0.0336,0.1289,-0.6159,9.93,-4.15,-3.29,2.21,-1.39,9.27
F ,142134,436
L ,142134,122
I ,142144,1,3,1,3,0,3,1,3,-0.0807,0.7108,-0.0662,0.6956,-0.7764,-0.0336,0.1296,-0.6157,10.14,-3.75,-2.51,1.89,-1.08,9.05
F ,142144,427
L ,142144,123
F ,142154,408
L ,142154,124
I ,142172,1,3,1,3,0,3,1,3,-0.0821,0.7142,-0.0669,0.6917,-0.7763,-0.0339,0.1316,-0.6154,9.72,0.54,-2.56,5.55,266.25,7.69
I ,142194,1,3,1,3,0,3,1,3,-0.0838,0.7174,-0.0678,0.6881,-0.7761,-0.0341,0.1333,-0.6152,9.71,0.25,-1.44,2.44,-0.7,9.4
F ,142194,356
L ,142194,127
I ,142204,2,3,1,3,0,3,1,3,-0.0834,0.7191,-0.0696,0.6863,-0.7761,-0.0339,0.1344,-0.6151,9.65,-1.62,-1.4,2.44,-0.7,9.4
L ,142262,134
F ,142294,209
L ,4595712,555
L ,142303,141
L ,142322,144
I ,142362,2,3,1,3,0,3,1,3,-0.0748,0.7449,-0.0887,0.6569,-0.7752,-0.0359,0.1501,-0.6126,9.35,-2.57,-0.81,2.99,-0.97,9.31
F ,142362,146
F ,142372,10
F ,142384,120
I ,142394,2,3,1,3,0,3,1,3,-0.0712,0.7502,-0.0919,0.6508,-0.7749,-0.0363,0.1531,-0.6121,8.81,-2.5,1.23,2.76,-1.13,9.1
F ,142394,95
L ,405992,8451
F ,142434,74
L ,142434,188
I ,142444,2,3,1,3,0,3,1,3,-0.0629,0.7636,-0.0952,0.6353,-0.7745,-0.0373,0.16,-0.6108,9.27,-3.09,-0.28,4.27,-77.44,-3.8
F ,142454,80
L ,142454,199
I ,142472,2,3,1,3,0,3,1,3,-0.0587,0.7742,-0.094,0.6231,-0.7742,-0.0401,0.1663,-0.6091,9.72,-2.49,-1.83,81.92,5.56,-276.46
F ,142484,75
L ,142504,213
M ,142504,873,248,873.0,248.0,323,700,1400,1670
F ,142512,64
L ,142512,1
F ,142380,50947
F ,142547,248
F ,142567,73
L ,142567,206
I ,142585,2,3,1,3,0,3,1,3,-0.034,0.826,-0.084,0.5562,-0.7649,-0.0781,0.2214,-0.5997,10.34,-1.37,-1.47,3.9,-1.65,8.75
F ,142585,68
L ,142585,190
M ,142585,872,248,5488.0,-7635.0,64676,2286,59559,972
I ,142622,2,3,1,3,0,3,1,3,-0.0201,0.8478,-0.0811,0.5235,-0.7579,-0.116,0.2527,-0.59,10.85,-1.73,0.87,4.13,-0.57,8.71
F ,142622,69
L ,142622,143
M ,142622,873,248,873.0,248.0,323,700,1400,1600
F ,142635,73
L ,142635,123
F ,142662,70
L ,142662,106
M ,5038873,63763,3022,-5741.0,1097.0,65413,294,403,65377
F ,142672,75
L ,142672,106
M ,142672,873,247,873.0,247.0,323,700,1400,1600
F ,142677,63
L ,142677,106
I ,142695,2,3,1,3,0,3,1,3,0.0049,0.8948,-0.0658,0.4413,-0.7265,-0.2033,0.3306,-0.5669,16.52,-1.47,1.78,6.19,0.1,12.42
F ,142695,72
F ,142707,53
L ,142707,107
I ,142722,2,3,1,3,0,3,1,3,0.0163,0.9155,-0.0567,0.3977,-0.6973,-0.2488,0.3924,-0.5457,14.05,-0.79,-0.46,7.19,0.89,14.27
F ,142593,17154
L ,142727,106
I ,142735,2,3,1,3,0,3,1,3,0.02,0.9222,-0.0544,0.3822,-0.6852,-0.2678,0.4178,-0.533,14.86,-1.04,-3.24,31.46,-62.85,-35.89
M ,142812,873,248,873.0,248.0,923,100,1532,1400
F ,142854,77
L ,142854,107
I ,142885,2,3,1,3,0,3,1,3,0.0569,0.9541,-0.0173,0.2934,-0.6322,-0.3998,0.4783,-0.4599,5.84,5.58,117.78,7.69,7.68,7.69
I ,142935,2,3,1,3,0,3,1,3,0.0476,0.936,-0.0076,0.3485,-0.6584,-0.3685,0.4259,-0.4991,3.68,-0.17,-9.71,6.8,-3.47,14.46
F ,142935,74
L ,142935,107
F ,142957,68
L ,142994,106
M ,147702,35594,43241,-17919.0,29440.0,33020,20740,23039,30468
I ,143035,2,3,1,3,0,3,1,3,0.0205,0.84,-0.0113,0.5419,-0.7456,-0.2234,0.2549,-0.5737,4.09,2.2,-8.97,10.64,-2.25,11.39
F ,143035,81
L ,143035,106
M ,143035,873,248,873.0,248.0,923,100,1532,1400
F ,143044,82
L ,143044,10
F ,143053,79
F ,143072,65
L ,143072,106
I ,143085,2,3,1,3,0,3,1,3,0.0094,0.7597,-0.0333,0.6493,-0.7807,-0.1219,0.1664,-0.5898,7.42,0.55,-8.1,13.64,-4.96,13.21
F ,143085,71
L ,143085,10
F ,143094,70
I ,143135,2,3,1,3,0,3,1,3,-0.0206,0.6647,-0.0535,0.7448,-0.7841,-0.0136,0.1057,-0.6113,6.71,1.55,-2.9,15.93,-0.67,16.59
I ,143144,2,3,1,3,0,3,1,3,-0.025,0.6456,-0.0604,0.7608,-0.7822,0.0081,0.0965,-0.6153,8.63,0.11,-2.99,16.6,2.01,15.38
F ,143144,68
L ,143144,108
I ,143153,1,3,1,3,0,3,1,3,-0.0286,0.6272,-0.0686,0.7752,-0.7804,0.03,0.0872,-0.6183,8.25,-2.73,-1.83,17.71,2.14,16.22
F ,143153,65
L ,143153,107
I ,143195,1,3,1,3,0,3,1,3,-0.0445,0.5612,-0.1008,0.8202,-0.7774,0.1123,0.0508,-0.6166,7.48,-2.92,2.7,16.8,2.86,3.66
F ,143195,66
I ,143222,1,3,1,3,0,3,1,3,-0.0557,0.5284,-0.1177,0.8389,-0.7732,0.1588,0.0379,-0.6127,5.5,-5.53,9.19,19.12,3.75,-3.86
F ,143222,61
L ,143222,106
I ,143235,1,3,1,3,0,3,1,3,-0.0568,0.523,-0.1223,0.8415,-0.7697,0.1692,0.0369,-0.6143,4.9,-5.69,8.81,20.23,3.44,-6.36
I ,143244,1,3,1,3,0,3,1,3,-0.0574,0.5209,-0.1254,0.8423,-0.7662,0.1749,0.0372,-0.6171,4.61,-4.8,10.19,66.88,-61.74,112.7
I ,143285,1,3,1,3,0,3,1,3,-0.064,0.5472,0.8314,-0.7637,0.1607,0.0472,-0.6233,0.0617,-3.07,-3.09,16.07,-76.5,15.5,5.15
F ,143312,172
L ,16612895,6626
F ,143372,544
F ,68740695,1300
F ,143444,581
L ,143444,107
F ,143543,564
L ,143543,107
F ,143562,553
L ,143562,112
L ,143583,116
I ,143593,1,3,1,3,0,3,1,3,-0.1472,0.7012,-0.0008,0.6975,-0.7449,-0.0502,0.1208,-0.6541,9.61,-3.29,-1.37,1.98,-1.3,9.05
I ,143612,2,3,1,3,0,3,1,3,-0.1467,0.7042,-0.0039,0.6945,-0.7446,-0.0503,0.1223,-0.6541,9.81,-2.09,-2.36,-74.46,-5.03,12.29
F ,143622,503
L ,143633,122
I ,143711,3,3,1,3,0,3,1,3,-0.1347,0.72,-0.0253,0.6801,-0.7437,-0.049,0.1312,-0.6536,9.27,-2.67,0.14,2.52,-0.95,9.19
F ,143717,266
I ,143743,3,3,1,3,0,3,1,3,-0.1304,0.7258,-0.0295,0.6747,-0.7437,-0.0482,0.1336,-0.6531,9.38,-2.63,-0.49,2.35,-0.72,8.8
F ,143743,404
L ,143781,165
F ,143821,302
L ,143821,177
I ,143831,3,3,1,3,0,3,1,3,-0.1228,0.7443,-0.0345,0.6555,-0.7437,-0.0473,0.1416,-0.6516,9.69,-2.22,-1.78,2.74,-0.86,9.27
F ,143831,288
L ,143831,180
I ,143882,3,3,1,3,0,3,1,3,-0.1141,0.7558,-0.0385,0.6435,-0.7439,-0.0491,0.147,-0.6499,8.93,-3.31,1.4,2.67,-1.25,9.03
F ,143882,164
L ,143882,197
F ,143942,65
L ,131375,65401
F ,143952,74
L ,143952,240
I ,143961,3,3,1,3,0,3,1,3,-0.0899,0.7868,-0.0391,0.6092,-0.7446,-0.0578,0.1627,-0.6447,9.18,-3.01,-0.97,2.2,-0.99,9.22
M ,143971,873,248,873.0,248.0,323,700,1400,1600
I ,143992,3,3,1,3,0,3,1,3,-0.0795,0.8012,-0.0365,0.5919,-0.7435,-0.0651,0.1751,-0.6419,9.38,-1.09,-0.4,2.77,-0.64,9.11
F ,143992,74
L ,143992,248
M ,143992,873,248,873.0,248.0,323,700,1400,1600
I ,144001,3,3,1,3,0,3,1,3,-0.0761,0.8063,-0.0353,0.5853,-0.7431,-0.0687,0.1802,-0.6408,9.81,-1.12,-1.02,3.0,-0.62,8.92
F ,144001,88
L ,144001,248
I ,144011,3,3,1,3,0,3,1,3,-0.0725,0.8117,-0.034,0.5784,-0.7424,-0.0734,0.1859,-0.6394,9.03,-0.93,-0.31,2.83,-1.3,9.05
M ,144011,873,249,873.0,249.0,323,700,1400,1600
F ,144021,88
L ,144021,248
M ,144021,873,247,873.0,247.0,323,700,1400,562
F ,144037,70
L ,144037,3
I ,144052,3,3,1,3,0,3,1,3,-0.0582,0.8356,-0.0272,0.5454,-0.7384,-0.1063,0.2139,-0.6305,11.26,-1.24,0.93,3.61,-2.0,8.72
M ,144052,872,248,872.0,248.0,323,700,1400,1600
I ,144061,3,3,1,3,0,3,1,3,-0.0547,0.842,-0.025,0.536,-0.7369,-0.1185,0.2224,-0.6271,10.67,-1.11,1.37,3.55,-0.89,8.63
F ,144061,70
L ,144061,10
I ,144111,3,3,1,3,0,3,1,3,-0.0354,0.879,-0.0129,0.4752,-0.7192,-0.196,0.2759,-0.6067,13.65,-1.48,2.44,5.76,-1.33,10.02
F ,144111,62
L ,144111,108
M ,144112,873,248,873.0,248.0,323,700,1400,1600
I ,144121,3,3,1,3,0,3,1,3,-0.0304,0.8869,-0.0106,0.4606,-0.713,-0.213,0.2882,-0.6025,13.86,0.31,2.2,5.67,-2.63,11.31
M ,144121,873,248,873.0,248.0,323,28675,768,29189
F ,144132,53
L ,144142,107
M ,144142,17642,1542,15872.0,-17667.0,58371,49407,62982,52234
I ,144172,3,3,1,3,0,3,1,3,0.0013,0.9229,-0.008,0.3848,-0.6697,-0.321,0.3872,-0.5463,9.47,1.04,-0.73,12.6,0.41,20.07
F ,144172,56
L ,144172,107
L ,144177,106
I ,144262,3,3,1,3,0,3,1,3,0.071,0.9475,0.0003,0.0259,0.079,0.9486,-0.0318,0.3048,-65.74,-40.95,47.25,-42.03,3.26,-0.92
F ,144272,67
L ,144272,106
F ,144284,67
I ,144302,3,3,1,3,0,3,1,3,0.0898,0.9446,-0.0465,0.312,-0.6704,-0.3992,0.4581,-0.4255,5.3,-0.1,-8.97,-3.06,-2.69,6.44
F ,144302,75
I ,144333,3,3,1,3,0,3,1,3,0.0857,0.9365,-0.0548,0.3355,-0.6855,-0.3723,0.4454,-0.4392,5.96,2.21,-9.97,0.87,-1.15,12.94
F ,144334,63
I ,144352,3,3,1,3,0,3,1,3,0.0827,0.9274,-0.061,0.3593,-0.6975,-0.348,0.4319,-0.4535,4.36,1.47,-9.54,81.92,5.63,-81.92
L ,144352,107
M ,144352,873,248,873.0,248.0,923,100,1532,1400
I ,144362,3,3,1,3,0,3,1,3,0.0801,0.9219,-0.064,0.3733,-0.7047,-0.3341,0.4216,-0.4625,3.23,1.12,-7.88,3.89,0.86,13.15
F ,144362,62
L ,144362,107
I ,144373,3,3,1,3,0,3,1,3,0.0768,0.9158,-0.0668,0.3881,-0.712,-0.3195,0.4099,-0.4718,3.8,0.77,-9.72,0.03,7.69,7.68
I ,144413,3,3,1,3,0,3,1,3,0.0595,0.8833,-0.0763,0.4586,-0.7442,-0.2573,0.3523,-0.5057,5.17,2.72,-9.19,2.48,8.73,2.48
I ,144513,2,3,1,3,0,3,1,3,0.0407,0.7302,-0.1151,0.6721,-0.824,-0.0659,0.1685,-0.5368,7.15,1.48,-6.8,11.96,-3.16,15.51
F ,144513,61
I ,144522,2,3,1,3,0,3,1,3,0.0368,0.7098,-0.1183,0.6933,-0.8271,-0.0437,0.1504,-0.5397,7.34,1.15,-6.01,14.75,-3.5,18.34
F ,144522,59
L ,144522,106
I ,144534,2,3,1,3,0,3,1,3,0.0322,0.6888,-0.1209,0.714,-0.8286,-0.0207,0.1328,-0.5433,7.36,0.85,-5.78,11.52,-3.38,13.31
F ,144534,67
F ,144552,71
L ,144563,107
L ,144567,108
