Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
I ,0,3,0,2,0,3,1,2,0.0,0.5807,0.453,0.5668,0.7534,0.1491,0.0,0.6296,9.71,1.49,0.37,3.8,0.11,8.51
F ,33138,231
L ,33138,94
I ,0,3,0,2,0,3,1,2,0.0,0.5792,0.4526,0.5689,0.7533,0.1487,0.0,0.6297,9.39,1.57,0.34,4.01,0.23,9.03
F ,33148,229
L ,33148,94
I ,0,3,0,2,0,3,1,2,0.0,0.5779,0.452,0.5709,0.7533,0.1483,0.0,0.6298,9.27,0.54,0.05,3.98,0.18,8.73
F ,33159,229
L ,33159,93
F ,33163,227
L ,33163,95
I ,0,3,0,2,0,3,1,2,0.0,0.5768,0.4514,0.5729,0.7532,0.148,0.0,0.6298,8.88,0.14,0.0,4.17,0.12,8.84
I ,0,3,0,2,0,3,1,2,0.0,0.5757,0.4508,0.5749,0.753,0.1475,0.0,0.63,9.14,0.25,0.0,3.84,0.05,8.52
F ,33180,239
L ,33180,94
I ,0,3,0,2,0,3,1,2,0.0,0.5745,0.4505,0.5765,0.7528,0.1473,0.0,0.63,9.14,0.25,0.0,4.0,0.0,8.64
F ,33188,237
L ,33188,94
I ,0,3,0,2,0,3,1,2,0.0,0.5734,0.4505,0.5778,0.7525,0.1472,0.0,0.63,9.19,0.34,0.0,4.21,0.0,8.9
F ,33198,249
L ,33198,94
M ,33200,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,2,0.0,0.5723,0.4505,0.5792,0.7523,0.1473,0.0,0.63,9.46,1.1,0.0,4.01,0.18,8.72
