I ,67241,3,3,0,3,1,3,1,3,0.0482,0.8678,-0.2047,0.45,0.3481,0.281,-0.1378,0.8836,9.97,-0.28,2.56,4.53,-0.97,8.86
F ,67241,69
L ,67241,222
F ,67247,59
L ,67247,209
I ,67254,3,3,0,3,1,3,1,3,0.05,0.8745,-0.2044,0.4369,0.3442,0.2938,-0.14,0.8806,10.09,-0.41,2.45,5.15,-1.29,10.64
I ,67264,3,3,0,3,1,3,1,3,0.0521,0.8813,-0.2041,0.4228,0.3396,0.3081,-0.1432,0.877,10.53,0.17,2.3,4.36,-0.99,11.93
F ,67264,70
L ,67264,165
L ,67267,160
I ,67274,3,3,0,3,1,3,1,3,0.0546,0.8883,-0.2039,0.4076,0.3346,0.3238,-0.148,0.8724,11.81,1.37,1.4,3.65,2.18,12.48
F ,67274,70
I ,67281,3,3,0,3,1,3,1,3,0.0578,0.8953,-0.2041,0.3914,0.3294,0.3413,-0.1547,0.8666,13.36,1.5,1.34,3.65,2.18,12.48
F ,67281,67
L ,67281,123
I ,67291,3,3,0,3,1,3,1,3,0.0613,0.9023,-0.2044,0.3745,0.3243,0.3617,-0.1647,0.8583,14.85,0.93,0.11,6.07,0.7,10.75
F ,67291,65
L ,67291,106
I ,67304,3,3,0,3,1,3,1,3,0.0642,0.9089,-0.205,0.3573,0.3202,0.3854,-0.1781,0.8468,15.38,0.0,-0.86,8.9,-0.97,16.29
F ,67304,63
L ,67304,107
I ,67314,3,3,0,3,1,3,1,3,0.0667,0.9152,-0.2057,0.3399,0.3162,0.4132,-0.1926,0.8319,17.39,-0.56,-5.3,10.11,1.02,17.48
F ,67314,67
L ,67314,106
I ,67324,3,3,0,3,1,3,1,3,0.0693,0.9209,-0.2068,0.3228,0.3113,0.4437,-0.2056,0.8147,18.53,-0.87,-7.21,10.11,1.02,17.48
F ,67324,77
L ,67324,106
