Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,14863 | Motors started.
F ,15239,0
L ,15239,107
I ,3,3,0,2,0,3,1,2,0.1792,0.6528,0.0062,0.7359,0.9797,0.1085,-0.1027,0.1334,8.26,2.15,0.58,5.96,0.91,7.65
F ,15250,157
L ,15250,107
I ,3,3,0,2,0,3,1,2,0.1788,0.6513,0.0039,0.7374,0.9803,0.106,-0.1007,0.1322,8.81,2.1,0.25,5.46,0.64,6.84
F ,15260,50
L ,15260,107
I ,3,3,0,2,0,3,1,2,0.1783,0.6499,0.0015,0.7387,0.9809,0.1035,-0.0991,0.1312,8.61,1.98,0.54,5.36,0.57,6.55
F ,15270,0
L ,15270,107
L ,15273,107
I ,3,3,0,2,0,3,1,2,0.1777,0.6489,-0.0007,0.7397,0.9814,0.1009,-0.0977,0.1304,8.14,1.98,0.68,5.28,0.56,6.67
F ,15279,229
I ,3,3,0,2,0,3,1,2,0.1771,0.6482,-0.0029,0.7405,0.9818,0.0984,-0.0969,0.1301,8.21,1.99,0.83,5.76,0.62,7.57
F ,15289,0
L ,15289,107
I ,3,3,0,2,0,3,1,2,0.1763,0.6479,-0.0051,0.7409,0.9821,0.096,-0.0962,0.1301,8.39,1.99,0.66,5.73,0.74,7.78
F ,15301,0
L ,15301,107
I ,3,3,0,2,0,3,1,2,0.1754,0.6479,-0.0071,0.7411,0.9823,0.0938,-0.0956,0.1304,8.42,2.0,0.61,5.57,0.93,7.8
F ,15309,20
L ,15309,107
F ,15313,205
L ,15313,107
I ,3,3,0,2,0,3,1,2,0.1745,0.6483,-0.0091,0.741,0.9824,0.0918,-0.095,0.1312,8.76,2.06,0.51,5.19,1.29,7.36
I ,3,3,0,2,0,3,1,2,0.1737,0.6489,-0.0111,0.7406,0.9826,0.09,-0.0947,0.132,8.81,1.82,0.5,5.19,2.25,7.4
F ,15329,204
L ,15329,107
I ,3,3,0,2,0,3,1,2,0.1729,0.6497,-0.013,0.7401,0.9826,0.0883,-0.0946,0.1329,8.71,1.74,0.64,4.96,2.45,7.21
F ,15339,0
L ,15339,107
I ,3,3,0,2,0,3,1,2,0.1723,0.6507,-0.0149,0.7393,0.9826,0.0864,-0.0947,0.1337,8.56,1.82,0.51,5.03,2.54,7.48
F ,15351,114
L ,15351,107
I ,3,3,0,2,0,3,1,2,0.1716,0.6519,-0.0167,0.7383,0.9827,0.0845,-0.0951,0.1344,8.57,1.87,0.56,4.94,2.68,7.46
F ,15360,63
L ,15360,107
F ,15363,203
L ,15363,107
I ,3,3,0,2,0,3,1,2,0.1712,0.6533,-0.0186,0.7371,0.9827,0.0827,-0.0958,0.1348,8.69,1.88,0.51,4.69,2.85,7.5
I ,3,3,0,2,0,3,1,2,0.1708,0.6554,-0.0203,0.7353,0.9827,0.0809,-0.0968,0.135,8.6,2.0,0.69,4.53,2.82,7.28
F ,15379,222
L ,15379,107
I ,3,3,0,2,0,3,1,2,0.1709,0.6577,-0.022,0.7332,0.9828,0.0792,-0.098,0.1347,8.76,2.2,0.54,4.63,2.84,7.55
F ,15389,0
L ,15389,106
I ,3,3,0,2,0,3,1,2,0.171,0.6602,-0.0238,0.7309,0.9828,0.0778,-0.0994,0.1341,8.93,2.03,0.44,4.28,2.79,7.17
F ,15400,207
L ,15400,107
I ,3,3,0,2,0,3,1,2,0.1713,0.6627,-0.0256,0.7285,0.9829,0.0764,-0.1013,0.1332,8.86,2.15,0.43,4.53,2.65,7.73
F ,15408,1
L ,15408,106
